PAYOFFUID,DAYSPASTDUE,STATUS,TOTAL_BALANCE,ALLOCATION_CHAR
b3859373-c535-5638-3f18-2dac886eea1d,35,Delinquent 1 Payment,165.5800,6
51a977fe-2592-465e-8216-4dfd1b90871d,16,Current,11434.9600,6
2f1dae41-0bd8-4554-ae6f-567b4bed3936,11,Current,19782.3600,5
e00c2204-6c1d-47bd-9b7f-15e956eee29c,8,Current,1087.2000,7
d353b026-8dc0-6720-0443-a2d31575b517,70,Seriously Delinquent 2 Payments,8448.8200,7
916875a8-a70d-c436-79f3-9a17eca5df46,30,Delinquent 1 Payment,5335.4700,4
28995b6d-05a9-5570-b8f0-dbae9bd7b05f,79,Seriously Delinquent 2 Payments,1051.1200,5
621e065a-d3a7-17c9-064f-ab40e5905d6a,25,Current,17575.4300,7
b2cdf4a4-0d16-47f8-a936-874be6de824a,4,Current,7751.5800,7
5ffa7e35-dd0d-45a4-ae4c-d16f6c0d7d7b,4,Current,23522.5200,5
5ac32b1b-b5bc-4440-75bb-61d80ae8aeb9,73,Seriously Delinquent 2 Payments,962.6900,4
fa7346c0-7790-6682-959a-9674ea53794d,20,Current,17121.6000,6
e5c547ba-98e6-67ef-6d34-c4ed9eab090a,6,Current,893.5000,7
840ac37b-422c-84de-f0bf-e76162442f38,14,Current,10398.9400,4
eb054f02-a726-b600-7869-1e4cf59c5b04,3,Current,490.7900,6
06e8ddc8-6205-4570-83e8-cb4d961c27ad,15,Current,15661.9700,5
69b2c950-7afd-a4aa-be26-1badb505c4f6,7,Current,1241.7900,4
9be0d15a-7803-c5e4-94d8-119bb1d34549,12,Current,14418.1400,5
060dffb1-93a5-e6e4-c60c-aba186353b4e,46,Delinquent 1 Payment,1513.6500,6
42959b9f-074d-c682-77c3-d2ff87e8f0fc,14,Current,1062.6000,6
fd0d35de-b909-b41b-6203-c8df6e72d989,69,Seriously Delinquent 2 Payments,2811.0300,4
4b504ece-65b0-d71e-2ac7-0f033be66117,16,Current,3959.5700,7
62dff39d-650a-f595-c27a-ffe0f3562ec2,43,Delinquent 1 Payment,15498.6900,5
2aeb9982-96fb-4446-770e-cc65db8ab80c,20,Current,3291.4300,4
bd393a0b-be85-44bf-ab40-e756a20e2657,75,Seriously Delinquent 2 Payments,13952.1400,4